"","DFU","Period","Demand","Opening","Supply","Min.Cov","Max.Cov"
"202","Item 000004",2023-05-14,2845,0,0,2,6
"203","Item 000004",2023-05-21,1010,0,0,2,6
"204","Item 000004",2023-05-28,885,0,0,2,6
"205","Item 000004",2023-06-04,1515,0,0,2,6
"206","Item 000004",2023-06-11,1515,0,0,2,6
"207","Item 000004",2023-06-18,1515,0,0,2,6
"208","Item 000004",2023-06-25,885,0,0,2,6
"209","Item 000005",2022-07-03,2250,17500,0,4,12
"210","Item 000005",2022-07-10,2250,0,0,4,12
"211","Item 000005",2022-07-17,450,0,0,4,12
"212","Item 000005",2022-07-24,1800,0,0,4,12
"213","Item 000005",2022-07-31,900,0,0,4,12
"214","Item 000005",2022-08-07,450,0,0,4,12
"215","Item 000005",2022-08-14,3600,0,0,4,12
"216","Item 000005",2022-08-21,2700,0,0,4,12
"217","Item 000005",2022-08-28,4500,0,30000,4,12
"218","Item 000005",2022-09-04,3600,0,0,4,12
"219","Item 000005",2022-09-11,4050,0,0,4,12
"220","Item 000005",2022-09-18,2700,0,0,4,12
"221","Item 000005",2022-09-25,450,0,0,4,12
"222","Item 000005",2022-10-02,800,0,0,4,12
"223","Item 000005",2022-10-09,900,0,0,4,12
"224","Item 000005",2022-10-16,900,0,0,4,12
"225","Item 000005",2022-10-23,900,0,0,4,12
"226","Item 000005",2022-10-30,450,0,0,4,12
"227","Item 000005",2022-11-06,4050,0,0,4,12
"228","Item 000005",2022-11-13,4500,0,0,4,12
"229","Item 000005",2022-11-20,2700,0,0,4,12
"230","Item 000005",2022-11-27,2700,0,0,4,12
"231","Item 000005",2022-12-04,4050,0,0,4,12
"232","Item 000005",2022-12-11,3150,0,0,4,12
"233","Item 000005",2022-12-18,900,0,0,4,12
"234","Item 000005",2022-12-25,950,0,0,4,12
"235","Item 000005",2023-01-01,900,0,0,4,12
"236","Item 000005",2023-01-08,820,0,0,4,12
"237","Item 000005",2023-01-15,815,0,0,4,12
"238","Item 000005",2023-01-22,450,0,0,4,12
"239","Item 000005",2023-01-29,450,0,0,4,12
"240","Item 000005",2023-02-05,4050,0,0,4,12
"241","Item 000005",2023-02-12,2700,0,0,4,12
"242","Item 000005",2023-02-19,3450,0,0,4,12
"243","Item 000005",2023-02-26,4050,0,0,4,12
"244","Item 000005",2023-03-05,2250,0,0,4,12
"245","Item 000005",2023-03-12,4500,0,0,4,12
"246","Item 000005",2023-03-19,4500,0,0,4,12
"247","Item 000005",2023-03-26,1350,0,0,4,12
"248","Item 000005",2023-04-02,1800,0,0,4,12
"249","Item 000005",2023-04-09,1350,0,0,4,12
"250","Item 000005",2023-04-16,2700,0,0,4,12
"251","Item 000005",2023-04-23,2700,0,0,4,12
"252","Item 000005",2023-04-30,2700,0,0,4,12
"253","Item 000005",2023-05-07,3600,0,0,4,12
"254","Item 000005",2023-05-14,3600,0,0,4,12
"255","Item 000005",2023-05-21,450,0,0,4,12
"256","Item 000005",2023-05-28,3150,0,0,4,12
"257","Item 000005",2023-06-04,1800,0,0,4,12
"258","Item 000005",2023-06-11,4050,0,0,4,12
"259","Item 000005",2023-06-18,4050,0,0,4,12
"260","Item 000005",2023-06-25,450,0,0,4,12
"261","Item 000006",2022-07-03,1141,9954,0,6,16
"262","Item 000006",2022-07-10,1141,0,0,6,16
"263","Item 000006",2022-07-17,1141,0,0,6,16
"264","Item 000006",2022-07-24,815,0,7980,6,16
"265","Item 000006",2022-07-31,1466,0,0,6,16
"266","Item 000006",2022-08-07,1711,0,0,6,16
"267","Item 000006",2022-08-14,1711,0,0,6,16
"268","Item 000006",2022-08-21,1711,0,0,6,16
"269","Item 000006",2022-08-28,943,0,9576,6,16
"270","Item 000006",2022-09-04,1630,0,0,6,16
"271","Item 000006",2022-09-11,1630,0,0,6,16
"272","Item 000006",2022-09-18,1630,0,0,6,16
"273","Item 000006",2022-09-25,1176,0,0,6,16
"274","Item 000006",2022-10-02,1711,0,4104,6,16
"275","Item 000006",2022-10-09,1711,0,0,6,16
"276","Item 000006",2022-10-16,1711,0,0,6,16
"277","Item 000006",2022-10-23,1466,0,0,6,16
"278","Item 000006",2022-10-30,1222,0,0,6,16
"279","Item 000006",2022-11-06,1711,0,0,6,16
"280","Item 000006",2022-11-13,1711,0,0,6,16
"281","Item 000006",2022-11-20,1711,0,0,6,16
"282","Item 000006",2022-11-27,1467,0,0,6,16
"283","Item 000006",2022-12-04,2469,0,0,6,16
"284","Item 000006",2022-12-11,2106,0,0,6,16
"285","Item 000006",2022-12-18,2091,0,0,6,16
"286","Item 000006",2022-12-25,2757,0,0,6,16
"287","Item 000006",2023-01-01,2448,0,0,6,16
"288","Item 000006",2023-01-08,1824,0,0,6,16
"289","Item 000006",2023-01-15,2178,0,0,6,16
"290","Item 000006",2023-01-22,2148,0,0,6,16
"291","Item 000006",2023-01-29,1596,0,0,6,16
"292","Item 000006",2023-02-05,2712,0,0,6,16
"293","Item 000006",2023-02-12,2934,0,0,6,16
"294","Item 000006",2023-02-19,2094,0,0,6,16
"295","Item 000006",2023-02-26,2970,0,0,6,16
"296","Item 000006",2023-03-05,1851,0,0,6,16
"297","Item 000006",2023-03-12,2640,0,0,6,16
"298","Item 000006",2023-03-19,2814,0,0,6,16
"299","Item 000006",2023-03-26,2337,0,0,6,16
"300","Item 000006",2023-04-02,2139,0,0,6,16
"301","Item 000006",2023-04-09,1884,0,0,6,16
"302","Item 000006",2023-04-16,2877,0,0,6,16
"303","Item 000006",2023-04-23,1851,0,0,6,16
"304","Item 000006",2023-04-30,1683,0,0,6,16
"305","Item 000006",2023-05-07,1968,0,0,6,16
"306","Item 000006",2023-05-14,2847,0,0,6,16
"307","Item 000006",2023-05-21,2529,0,0,6,16
"308","Item 000006",2023-05-28,1674,0,0,6,16
"309","Item 000006",2023-06-04,2913,0,0,6,16
"310","Item 000006",2023-06-11,2463,0,0,6,16
"311","Item 000006",2023-06-18,1881,0,0,6,16
"312","Item 000006",2023-06-25,2865,0,0,6,16
"313","Item 000007",2022-07-03,126,2092,0,6,12
"314","Item 000007",2022-07-10,126,0,0,6,12
"315","Item 000007",2022-07-17,126,0,0,6,12
"316","Item 000007",2022-07-24,90,0,2593,6,12
"317","Item 000007",2022-07-31,325,0,0,6,12
"318","Item 000007",2022-08-07,379,0,0,6,12
"319","Item 000007",2022-08-14,379,0,0,6,12
"320","Item 000007",2022-08-21,379,0,0,6,12
"321","Item 000007",2022-08-28,251,0,0,6,12
"322","Item 000007",2022-09-04,460,0,0,6,12
"323","Item 000007",2022-09-11,460,0,0,6,12
"324","Item 000007",2022-09-18,460,0,0,6,12
"325","Item 000007",2022-09-25,309,0,0,6,12
"326","Item 000007",2022-10-02,325,0,107,6,12
"327","Item 000007",2022-10-09,325,0,540,6,12
"328","Item 000007",2022-10-16,325,0,0,6,12
"329","Item 000007",2022-10-23,278,0,0,6,12
"330","Item 000007",2022-10-30,78,0,0,6,12
"331","Item 000007",2022-11-06,109,0,0,6,12
"332","Item 000007",2022-11-13,109,0,0,6,12
"333","Item 000007",2022-11-20,109,0,107,6,12
"334","Item 000007",2022-11-27,43,0,0,6,12
"335","Item 000007",2022-12-04,28,0,0,6,12
"336","Item 000007",2022-12-11,28,0,0,6,12
"337","Item 000007",2022-12-18,112,0,0,6,12
"338","Item 000007",2022-12-25,64,0,0,6,12
"339","Item 000007",2023-01-01,324,0,0,6,12
"340","Item 000007",2023-01-08,308,0,0,6,12
"341","Item 000007",2023-01-15,380,0,3000,6,12
"342","Item 000007",2023-01-22,388,0,0,6,12
"343","Item 000007",2023-01-29,252,0,0,6,12
"344","Item 000007",2023-02-05,364,0,0,6,12
"345","Item 000007",2023-02-12,388,0,0,6,12
"346","Item 000007",2023-02-19,260,0,0,6,12
"347","Item 000007",2023-02-26,368,0,0,6,12
"348","Item 000007",2023-03-05,312,0,0,6,12
"349","Item 000007",2023-03-12,248,0,0,6,12
"350","Item 000007",2023-03-19,240,0,0,6,12
"351","Item 000007",2023-03-26,368,0,0,6,12
"352","Item 000007",2023-04-02,276,0,0,6,12
"353","Item 000007",2023-04-09,392,0,0,6,12
"354","Item 000007",2023-04-16,340,0,0,6,12
"355","Item 000007",2023-04-23,332,0,0,6,12
"356","Item 000007",2023-04-30,352,0,0,6,12
"357","Item 000007",2023-05-07,280,0,0,6,12
"358","Item 000007",2023-05-14,244,0,0,6,12
"359","Item 000007",2023-05-21,248,0,0,6,12
"360","Item 000007",2023-05-28,204,0,0,6,12
"361","Item 000007",2023-06-04,256,0,0,6,12
"362","Item 000007",2023-06-11,296,0,0,6,12
"363","Item 000007",2023-06-18,244,0,0,6,12
"364","Item 000007",2023-06-25,356,0,0,6,12
"365","Item 000008",2022-07-03,6859,17500,0,4,12
"366","Item 000008",2022-07-10,6859,0,0,4,12
"367","Item 000008",2022-07-17,6859,0,12000,4,12
"368","Item 000008",2022-07-24,4900,0,0,4,12
"369","Item 000008",2022-07-31,1358,0,10000,4,12
"370","Item 000008",2022-08-07,1585,0,0,4,12
"371","Item 000008",2022-08-14,1585,0,0,4,12
"372","Item 000008",2022-08-21,1585,0,0,4,12
"373","Item 000008",2022-08-28,2023,0,0,4,12
"374","Item 000008",2022-09-04,4191,0,5000,4,12
"375","Item 000008",2022-09-11,4191,0,0,4,12
"376","Item 000008",2022-09-18,4191,0,0,4,12
"377","Item 000008",2022-09-25,3230,0,0,4,12
"378","Item 000008",2022-10-02,5841,0,0,4,12
"379","Item 000008",2022-10-09,5841,0,16000,4,12
"380","Item 000008",2022-10-16,5841,0,0,4,12
"381","Item 000008",2022-10-23,5007,0,0,4,12
"382","Item 000008",2022-10-30,2452,0,0,4,12
"383","Item 000008",2022-11-06,7432,0,30000,4,12
"384","Item 000008",2022-11-13,7432,0,0,4,12
"385","Item 000008",2022-11-20,7432,0,0,4,12
"386","Item 000008",2022-11-27,1999,0,0,4,12
"387","Item 000008",2022-12-04,2376,0,0,4,12
"388","Item 000008",2022-12-11,2376,0,0,4,12
"389","Item 000008",2022-12-18,2376,0,0,4,12
"390","Item 000008",2022-12-25,2716,0,0,4,12
"391","Item 000008",2023-01-01,2976,0,0,4,12
"392","Item 000008",2023-01-08,3400,0,0,4,12
"393","Item 000008",2023-01-15,2000,0,0,4,12
"394","Item 000008",2023-01-22,1806,0,0,4,12
"395","Item 000008",2023-01-29,1604,0,0,4,12
"396","Item 000008",2023-02-05,1192,0,0,4,12
"397","Item 000008",2023-02-12,6830,0,0,4,12
"398","Item 000008",2023-02-19,8640,0,0,4,12
"399","Item 000008",2023-02-26,7680,0,0,4,12
"400","Item 000008",2023-03-05,7130,0,0,4,12
"401","Item 000008",2023-03-12,1274,0,0,4,12
"402","Item 000008",2023-03-19,1376,0,0,4,12
"403","Item 000008",2023-03-26,2680,0,0,4,12
"404","Item 000008",2023-04-02,3036,0,0,4,12
"405","Item 000008",2023-04-09,3672,0,0,4,12
"406","Item 000008",2023-04-16,3092,0,0,4,12
"407","Item 000008",2023-04-23,1444,0,0,4,12
"408","Item 000008",2023-04-30,1734,0,0,4,12
"409","Item 000008",2023-05-07,1310,0,0,4,12
"410","Item 000008",2023-05-14,9940,0,0,4,12
"411","Item 000008",2023-05-21,6890,0,0,4,12
"412","Item 000008",2023-05-28,7770,0,0,4,12
"413","Item 000008",2023-06-04,7420,0,0,4,12
"414","Item 000008",2023-06-11,1152,0,0,4,12
"415","Item 000008",2023-06-18,1552,0,0,4,12
"416","Item 000008",2023-06-25,1374,0,0,4,12
"417","Item 000009",2022-07-03,66,1222,0,4,12
"418","Item 000009",2022-07-10,66,0,0,4,12
"419","Item 000009",2022-07-17,66,0,0,4,12
"420","Item 000009",2022-07-24,48,0,0,4,12
"421","Item 000009",2022-07-31,85,0,0,4,12
"422","Item 000009",2022-08-07,100,0,0,4,12
"423","Item 000009",2022-08-14,100,0,0,4,12
"424","Item 000009",2022-08-21,100,0,0,4,12
"425","Item 000009",2022-08-28,15,0,0,4,12
"426","Item 000009",2022-09-04,54,0,0,4,12
"427","Item 000009",2022-09-11,54,0,0,4,12
"428","Item 000009",2022-09-18,90,0,0,4,12
"429","Item 000009",2022-09-25,65,0,0,4,12
"430","Item 000009",2022-10-02,98,0,0,4,12
"431","Item 000009",2022-10-09,98,0,527,4,12
"432","Item 000009",2022-10-16,51,0,0,4,12
"433","Item 000009",2022-10-23,82,0,0,4,12
"434","Item 000009",2022-10-30,48,0,0,4,12
"435","Item 000009",2022-11-06,66,0,0,4,12
"436","Item 000009",2022-11-13,66,0,0,4,12
"437","Item 000009",2022-11-20,66,0,0,4,12
"438","Item 000009",2022-11-27,19,0,0,4,12
"439","Item 000009",2022-12-04,89,0,264,4,12
"440","Item 000009",2022-12-11,72,0,0,4,12
"441","Item 000009",2022-12-18,83,0,0,4,12
"442","Item 000009",2022-12-25,88,0,0,4,12
"443","Item 000009",2023-01-01,66,0,0,4,12
"444","Item 000009",2023-01-08,66,0,0,4,12
"445","Item 000009",2023-01-15,66,0,0,4,12
"446","Item 000009",2023-01-22,66,0,0,4,12
"447","Item 000009",2023-01-29,0,0,0,4,12
"448","Item 000009",2023-02-05,0,0,0,4,12
"449","Item 000009",2023-02-12,0,0,0,4,12
"450","Item 000009",2023-02-19,0,0,0,4,12
"451","Item 000009",2023-02-26,38,0,0,4,12
"452","Item 000009",2023-03-05,66,0,0,4,12
"453","Item 000009",2023-03-12,66,0,0,4,12
"454","Item 000009",2023-03-19,66,0,0,4,12
"455","Item 000009",2023-03-26,29,0,0,4,12
"456","Item 000009",2023-04-02,59,0,0,4,12
"457","Item 000009",2023-04-09,72,0,0,4,12
"458","Item 000009",2023-04-16,52,0,0,4,12
"459","Item 000009",2023-04-23,97,0,0,4,12
"460","Item 000009",2023-04-30,84,0,0,4,12
"461","Item 000009",2023-05-07,73,0,0,4,12
"462","Item 000009",2023-05-14,51,0,0,4,12
"463","Item 000009",2023-05-21,60,0,0,4,12
"464","Item 000009",2023-05-28,29,0,0,4,12
"465","Item 000009",2023-06-04,66,0,0,4,12
"466","Item 000009",2023-06-11,66,0,0,4,12
"467","Item 000009",2023-06-18,66,0,0,4,12
"468","Item 000009",2023-06-25,38,0,0,4,12
"469","Item 000010",2022-07-03,380,3411,0,4,12
"470","Item 000010",2022-07-10,380,0,0,4,12
"471","Item 000010",2022-07-17,380,0,0,4,12
"472","Item 000010",2022-07-24,272,0,0,4,12
"473","Item 000010",2022-07-31,169,0,0,4,12
"474","Item 000010",2022-08-07,197,0,600,4,12
"475","Item 000010",2022-08-14,197,0,0,4,12
"476","Item 000010",2022-08-21,591,0,0,4,12
"477","Item 000010",2022-08-28,558,0,0,4,12
"478","Item 000010",2022-09-04,906,0,0,4,12
"479","Item 000010",2022-09-11,906,0,0,4,12
"480","Item 000010",2022-09-18,151,0,0,4,12
"481","Item 000010",2022-09-25,103,0,1920,4,12
"482","Item 000010",2022-10-02,117,0,0,4,12
"483","Item 000010",2022-10-09,117,0,0,4,12
"484","Item 000010",2022-10-16,234,0,0,4,12
"485","Item 000010",2022-10-23,200,0,0,4,12
"486","Item 000010",2022-10-30,420,0,0,4,12
"487","Item 000010",2022-11-06,582,0,0,4,12
"488","Item 000010",2022-11-13,582,0,0,4,12
"489","Item 000010",2022-11-20,291,0,0,4,12
"490","Item 000010",2022-11-27,243,0,0,4,12
"491","Item 000010",2022-12-04,369,0,0,4,12
"492","Item 000010",2022-12-11,369,0,0,4,12
"493","Item 000010",2022-12-18,369,0,0,4,12
"494","Item 000010",2022-12-25,213,0,0,4,12
"495","Item 000010",2023-01-01,813,0,0,4,12
"496","Item 000010",2023-01-08,813,0,0,4,12
"497","Item 000010",2023-01-15,813,0,0,4,12
"498","Item 000010",2023-01-22,813,0,0,4,12
"499","Item 000010",2023-01-29,231,0,0,4,12
"500","Item 000010",2023-02-05,402,0,0,4,12
"501","Item 000010",2023-02-12,402,0,0,4,12
"502","Item 000010",2023-02-19,402,0,0,4,12
"503","Item 000010",2023-02-26,288,0,0,4,12
"504","Item 000010",2023-03-05,201,0,0,4,12
"505","Item 000010",2023-03-12,201,0,0,4,12
"506","Item 000010",2023-03-19,201,0,0,4,12
"507","Item 000010",2023-03-26,117,0,0,4,12
"508","Item 000010",2023-04-02,219,0,0,4,12
"509","Item 000010",2023-04-09,219,0,0,4,12
"510","Item 000010",2023-04-16,219,0,0,4,12
"511","Item 000010",2023-04-23,189,0,0,4,12
"512","Item 000010",2023-04-30,330,0,0,4,12
"513","Item 000010",2023-05-07,384,0,0,4,12
"514","Item 000010",2023-05-14,384,0,0,4,12
"515","Item 000010",2023-05-21,384,0,0,4,12
"516","Item 000010",2023-05-28,135,0,0,4,12
"517","Item 000010",2023-06-04,186,0,0,4,12
"518","Item 000010",2023-06-11,186,0,0,4,12
"519","Item 000010",2023-06-18,186,0,0,4,12
"520","Item 000010",2023-06-25,108,0,0,4,12
